tank_code,dip_mm,litres
T2,1102,6171
T2,1103,6179
T2,1104,6186
T2,1105,6193
T2,1106,6200
T2,1107,6207
T2,1108,6214
T2,1109,6221
T2,1110,6229
T2,1111,6236
T2,1112,6243
T2,1113,6250
T2,1114,6257
T2,1115,6264
T2,1116,6271
T2,1117,6279
T2,1118,6286
T2,1119,6293
T2,1120,6300
T2,1121,6307
T2,1122,6314
T2,1123,6321
T2,1124,6329
T2,1125,6336
T2,1126,6343
T2,1127,6350
T2,1128,6357
T2,1129,6364
T2,1130,6371
T2,1131,6379
T2,1132,6386
T2,1133,6393
T2,1134,6400
T2,1135,6407
T2,1136,6415
T2,1137,6422
T2,1138,6430
T2,1139,6437
T2,1140,6444
T2,1141,6452
T2,1142,6459
T2,1143,6467
T2,1144,6474
T2,1145,6481
T2,1146,6489
T2,1147,6496
T2,1148,6504
T2,1149,6511
T2,1150,6519
T2,1151,6526
T2,1152,6533
T2,1153,6541
T2,1154,6548
T2,1155,6556
T2,1156,6563
T2,1157,6570
T2,1158,6578
T2,1159,6585
T2,1160,6593
T2,1161,6600
T2,1162,6607
T2,1163,6615
T2,1164,6622
T2,1165,6630
T2,1166,6637
T2,1167,6644
T2,1168,6652
T2,1169,6659
T2,1170,6667
T2,1171,6674
T2,1172,6681
T2,1173,6689
T2,1174,6696
T2,1175,6704
T2,1176,6711
T2,1177,6719
T2,1178,6726
T2,1179,6733
T2,1180,6741
T2,1181,6748
T2,1182,6756
T2,1183,6763
T2,1184,6770
T2,1185,6778
T2,1186,6785
T2,1187,6793
T2,1188,6800
T2,1189,6807
T2,1190,6814
T2,1191,6821
T2,1192,6829
T2,1193,6836
T2,1194,6843
T2,1195,6850
T2,1196,6857
T2,1197,6864
T2,1198,6871
T2,1199,6879
T2,1200,6886
T2,1201,6893
T2,1202,6900
T2,1203,6907
T2,1204,6914
T2,1205,6921
T2,1206,6929
T2,1207,6936
T2,1208,6943
T2,1209,6950
T2,1210,6957
T2,1211,6964
T2,1212,6971
T2,1213,6979
T2,1214,6986
T2,1215,6993
T2,1216,7000
T2,1217,7007
T2,1218,7015
T2,1219,7022
T2,1220,7030
T2,1221,7037
T2,1222,7044
T2,1223,7052
T2,1224,7059
T2,1225,7067
T2,1226,7074
T2,1227,7081
T2,1228,7089
T2,1229,7096
T2,1230,7104
T2,1231,7111
T2,1232,7119
T2,1233,7126
T2,1234,7133
T2,1235,7141
T2,1236,7148
T2,1237,7156
T2,1238,7163
T2,1239,7170
T2,1240,7178
T2,1241,7185
T2,1242,7193
T2,1243,7200
T2,1244,7207
T2,1245,7214
T2,1246,7221
T2,1247,7229
T2,1248,7236
T2,1249,7243
T2,1250,7250
T2,1251,7257
T2,1252,7264
T2,1253,7271
T2,1254,7279
T2,1255,7286
T2,1256,7293
T2,1257,7300
T2,1258,7307
T2,1259,7314
T2,1260,7321
T2,1261,7329
T2,1262,7336
T2,1263,7343
T2,1264,7350
T2,1265,7357
T2,1266,7364
T2,1267,7371
T2,1268,7379
T2,1269,7386
T2,1270,7393
T2,1271,7400
T2,1272,7407
T2,1273,7414
T2,1274,7421
T2,1275,7429
T2,1276,7436
T2,1277,7443
T2,1278,7450
T2,1279,7457
T2,1280,7464
T2,1281,7471
T2,1282,7479
T2,1283,7486
T2,1284,7493
T2,1285,7500
T2,1286,7507
T2,1287,7514
T2,1288,7521
T2,1289,7529
T2,1290,7536
T2,1291,7543
T2,1292,7550
T2,1293,7557
T2,1294,7564
T2,1295,7571
T2,1296,7579
T2,1297,7586
T2,1298,7593
T2,1299,7600
T2,1300,7607
T2,1301,7615
T2,1302,7622
T2,1303,7630
T2,1304,7637
T2,1305,7644
T2,1306,7652
T2,1307,7659
T2,1308,7667
T2,1309,7674
T2,1310,7681
T2,1311,7689
T2,1312,7696
T2,1313,7704
T2,1314,7711
T2,1315,7719
T2,1316,7726
T2,1317,7733
T2,1318,7741
T2,1319,7748
T2,1320,7756
T2,1321,7763
T2,1322,7770
T2,1323,7778
T2,1324,7785
T2,1325,7793
T2,1326,7800
T2,1327,7807
T2,1328,7814
T2,1329,7821
T2,1330,7829
T2,1331,7836
T2,1332,7843
T2,1333,7850
T2,1334,7857
T2,1335,7864
T2,1336,7871
T2,1337,7879
T2,1338,7886
T2,1339,7893
T2,1340,7900
T2,1341,7907
T2,1342,7914
T2,1343,7921
T2,1344,7929
T2,1345,7936
T2,1346,7943
T2,1347,7950
T2,1348,7957
T2,1349,7964
T2,1350,7971
T2,1351,7979
T2,1352,7986
T2,1353,7993
T2,1354,8000
T2,1355,8007
T2,1356,8014
T2,1357,8021
T2,1358,8028
T2,1359,8034
T2,1360,8041
T2,1361,8048
T2,1362,8055
T2,1363,8062
T2,1364,8069
T2,1365,8076
T2,1366,8083
T2,1367,8090
T2,1368,8097
T2,1369,8103
T2,1370,8110
T2,1371,8117
T2,1372,8124
T2,1373,8131
T2,1374,8138
T2,1375,8145
T2,1376,8152
T2,1377,8159
T2,1378,8166
T2,1379,8172
T2,1380,8179
T2,1381,8186
T2,1382,8193
T2,1383,8200
T2,1384,8207
T2,1385,8214
T2,1386,8221
T2,1387,8229
T2,1388,8236
T2,1389,8243
T2,1390,8250
T2,1391,8257
T2,1392,8264
T2,1393,8271
T2,1394,8279
T2,1395,8286
T2,1396,8293
T2,1397,8300
T2,1398,8307
T2,1399,8314
T2,1400,8321
T2,1401,8329
T2,1402,8336
T2,1403,8343
T2,1404,8350
T2,1405,8357
T2,1406,8364
T2,1407,8371
T2,1408,8379
T2,1409,8386
T2,1410,8393
T2,1411,8400
T2,1412,8407
T2,1413,8414
T2,1414,8421
T2,1415,8429
T2,1416,8436
T2,1417,8443
T2,1418,8450
T2,1419,8457
T2,1420,8464
T2,1421,8471
T2,1422,8479
T2,1423,8486
T2,1424,8493
T2,1425,8500
T2,1426,8507
T2,1427,8514
T2,1428,8521
T2,1429,8529
T2,1430,8536
T2,1431,8543
T2,1432,8550
T2,1433,8557
T2,1434,8564
T2,1435,8571
T2,1436,8579
T2,1437,8586
T2,1438,8593
T2,1439,8600
T2,1440,8607
T2,1441,8614
T2,1442,8621
T2,1443,8629
T2,1444,8636
T2,1445,8643
T2,1446,8650
T2,1447,8657
T2,1448,8664
T2,1449,8671
T2,1450,8679
T2,1451,8686
T2,1452,8693
T2,1453,8700
T2,1454,8707
T2,1455,8714
T2,1456,8721
T2,1457,8729
T2,1458,8736
T2,1459,8743
T2,1460,8750
T2,1461,8757
T2,1462,8764
T2,1463,8771
T2,1464,8779
T2,1465,8786
T2,1466,8793
T2,1467,8800
T2,1468,8807
T2,1469,8813
T2,1470,8820
T2,1471,8827
T2,1472,8833
T2,1473,8840
T2,1474,8847
T2,1475,8853
T2,1476,8860
T2,1477,8867
T2,1478,8873
T2,1479,8880
T2,1480,8887
T2,1481,8893
T2,1482,8900
T2,1483,8907
T2,1484,8913
T2,1485,8920
T2,1486,8927
T2,1487,8933
T2,1488,8940
T2,1489,8947
T2,1490,8953
T2,1491,8960
T2,1492,8967
T2,1493,8973
T2,1494,8980
T2,1495,8987
T2,1496,8993
T2,1497,9000
T2,1498,9007
T2,1499,9013
T2,1500,9020
T2,1501,9027
T2,1502,9033
T2,1503,9040
T2,1504,9047
T2,1505,9053
T2,1506,9060
T2,1507,9067
T2,1508,9073
T2,1509,9080
T2,1510,9087
T2,1511,9093
T2,1512,9100
T2,1513,9107
T2,1514,9113
T2,1515,9120
T2,1516,9127
T2,1517,9133
T2,1518,9140
T2,1519,9147
T2,1520,9153
T2,1521,9160
T2,1522,9167
T2,1523,9173
T2,1524,9180
T2,1525,9187
T2,1526,9193
T2,1527,9200
T2,1528,9207
T2,1529,9213
T2,1530,9220
T2,1531,9227
T2,1532,9233
T2,1533,9240
T2,1534,9247
T2,1535,9253
T2,1536,9260
T2,1537,9267
T2,1538,9273
T2,1539,9280
T2,1540,9287
T2,1541,9293
T2,1542,9300
T2,1543,9307
T2,1544,9313
T2,1545,9320
T2,1546,9327
T2,1547,9333
T2,1548,9340
T2,1549,9347
T2,1550,9353
T2,1551,9360
T2,1552,9367
T2,1553,9373
T2,1554,9380
T2,1555,9387
T2,1556,9393
T2,1557,9400
T2,1558,9406
T2,1559,9412
T2,1560,9419
T2,1561,9425
T2,1562,9431
T2,1563,9437
T2,1564,9444
T2,1565,9450
T2,1566,9456
T2,1567,9462
T2,1568,9469
T2,1569,9475
T2,1570,9481
T2,1571,9487
T2,1572,9494
T2,1573,9500
T2,1574,9506
T2,1575,9512
T2,1576,9519
T2,1577,9525
T2,1578,9531
T2,1579,9537
T2,1580,9544
T2,1581,9550
T2,1582,9556
T2,1583,9562
T2,1584,9569
T2,1585,9575
T2,1586,9581
T2,1587,9587
T2,1588,9594
T2,1589,9600
T2,1590,9607
T2,1591,9613
T2,1592,9620
T2,1593,9627
T2,1594,9633
T2,1595,9640
T2,1596,9647
T2,1597,9653
T2,1598,9660
T2,1599,9667
T2,1600,9673
T2,1601,9680
T2,1602,9687
T2,1603,9693
T2,1604,9700
T2,1605,9707
T2,1606,9713
T2,1607,9720
T2,1608,9727
T2,1609,9733
T2,1610,9740
T2,1611,9747
T2,1612,9753
T2,1613,9760
T2,1614,9767
T2,1615,9773
T2,1616,9780
T2,1617,9787
T2,1618,9793
T2,1619,9800
T2,1620,9806
T2,1621,9812
T2,1622,9819
T2,1623,9825
T2,1624,9831
T2,1625,9837
T2,1626,9844
T2,1627,9850
T2,1628,9856
T2,1629,9862
T2,1630,9869
T2,1631,9875
T2,1632,9881
T2,1633,9887
T2,1634,9894
T2,1635,9900
T2,1636,9906
T2,1637,9912
T2,1638,9919
T2,1639,9925
T2,1640,9931
T2,1641,9937
T2,1642,9944
T2,1643,9950
T2,1644,9956
T2,1645,9962
T2,1646,9969
T2,1647,9975
T2,1648,9981
T2,1649,9987
T2,1650,9994
T2,1651,10000
T2,1652,10006
T2,1653,10012
T2,1654,10018
T2,1655,10024
T2,1656,10030
T2,1657,10036
T2,1658,10042
T2,1659,10048
T2,1660,10055
T2,1661,10061
T2,1662,10067
T2,1663,10073
T2,1664,10079
T2,1665,10085
T2,1666,10091
T2,1667,10097
T2,1668,10103
T2,1669,10109
T2,1670,10115
T2,1671,10121
T2,1672,10127
T2,1673,10133
T2,1674,10139
T2,1675,10145
T2,1676,10152
T2,1677,10158
T2,1678,10164
T2,1679,10170
T2,1680,10176
T2,1681,10182
T2,1682,10188
T2,1683,10194
T2,1684,10200
T2,1685,10206
T2,1686,10212
T2,1687,10218
T2,1688,10224
T2,1689,10230
T2,1690,10236
T2,1691,10242
T2,1692,10248
T2,1693,10255
T2,1694,10261
